,English Version,Label,News,Author,Date,Authenticity
2212,"Actress suicide case: 3 cell phones used by Deepa, 1 tape recovered",entertainment,"நடிகை தற்கொலை விவகாரம்: தீபா பயன்படுத்திய 3 செல்போன்கள், 1 டேப் மீட்பு",தினத்தந்தி,23-09-2022 04:51,0
2213,"""Even if I give Rs. 100 crores, I will not act in wrong films"" - Ramarajan says",entertainment,"""ரூ.100 கோடி கொடுத்தாலும் தாறுமாறான படங்களில் நடிக்க மாட்டேன்"" - ராமராஜன் சொல்கிறார்",தினத்தந்தி,23-09-2022 02:53,0
2214,"""Vendu Thanithanu Kadu Part 2 will be ready soon"" - producer Isari Ganesh informs",entertainment,"""வெந்து தணிந்தது காடு 2-ம் பாகம் விரைவில் தயாராகும்"" - தயாரிப்பாளர் ஐசரி கணேஷ் தகவல்",தினத்தந்தி,23-09-2022 02:47,0
2215,"""Cinema is important now, I have become alert"" - Vani Bojan",entertainment,"""இனி சினிமாதான் முக்கியம், உஷார் ஆகிவிட்டேன்"" - வாணி போஜன்",தினத்தந்தி,23-09-2022 02:18,0
2216,Thangarbachan's new film: The poignant story behind 'Alagi',entertainment,தங்கர்பச்சானின் புதிய படம்: 'அழகி'க்குப்பின் அழுத்தமான கதை,தினத்தந்தி,23-09-2022 02:07,0
2217,A winning alliance that reunites,entertainment,மீண்டும் இணையும் வெற்றிக் கூட்டணி,தினத்தந்தி,23-09-2022 01:41,0
2218,Kathir and Divya Bharti starrer Ajith's film title..!,entertainment,"கதிர், திவ்ய பாரதி நடிக்கும் படத்துக்கு அஜித் படத்தின் டைட்டில்..!",தினத்தந்தி,22-09-2022 08:56,0
2219,Second look release of 'Thunivu'...! Ajith fans are excited,entertainment,'துணிவு' படத்தின் செகண்ட் லுக் வெளியீடு...! அஜித் ரசிகர்கள் உற்சாகம்,தினத்தந்தி,22-09-2022 07:31,0
2220,Rajinikanth with new grandson - viral on social media...!,entertainment,புது பேரனுடன் கெத்தாக நிற்கும் ரஜினிகாந்த் - சமூக வலைதளங்களில் வைரல்...!,தினத்தந்தி,22-09-2022 06:30,0
2221,Actor Kamal Haasan joined the shooting of 'Indian-2',entertainment,'இந்தியன் -2' படப்பிடிப்பில் இணைந்த நடிகர் கமல்ஹாசன்,தினத்தந்தி,22-09-2022 06:21,0
2222,Kajal is happy to be back in Kamal Haasan's film,entertainment,கமல்ஹாசன் படத்தில் மீண்டும் நடிக்க வந்த மகிழ்ச்சியில் காஜல்,தினத்தந்தி,22-09-2022 03:31,0
2223,They called me an actress without a zodiac sign - Pooja Hegde,entertainment,என்னை ராசி இல்லாத நடிகை என்றனர் - பூஜா ஹெக்டே,தினத்தந்தி,22-09-2022 02:28,0
2224,Priyamani complains about the film director,entertainment,பட அதிபர் மீது பிரியாமணி புகார்,தினத்தந்தி,22-09-2022 01:27,0
2225,Rajinikanth film video leaked online,entertainment,திருட்டுத்தனமாக இணையத்தில் கசிந்த ரஜினி பட வீடியோ காட்சி,தினத்தந்தி,22-09-2022 01:20,0
2226,'There is no success without courage' - Ajith's 'Thunivu' first look released...!,entertainment,'துணிவில்லையேல் வெற்றி இல்லை' - அஜித்தின் 'துணிவு' பர்ஸ்ட் லுக் வெளியீடு...!,தினத்தந்தி,21-09-2022 15:06,0
2227,"Chiranjeevi in ​​politics again...! ""Even though I quit politics, it didn't quit me",entertainment,"மீண்டும் அரசியலில் சிரஞ்சீவி...! ""அரசியலில் இருந்து நான் விலகினாலும் என்னை விட்டு விலகவில்லை",தினத்தந்தி,21-09-2022 09:58,0
2228,A Vijay film actress who is in love with a man 9 years younger than her,entertainment,தன்னை விட 9 வயது இளையவரை காதலிக்கும் விஜய் பட நடிகை,தினத்தந்தி,21-09-2022 08:35,0
2229,What's wrong with Samantha...! Information about seeking treatment abroad,entertainment,சமந்தாவிற்கு என்ன பிரச்சினை...! வெளிநாட்டில் சிகிச்சைப் பெற உள்ளதாக தகவல்,தினத்தந்தி,21-09-2022 07:52,0
2230,UAE has granted golden visa to actress Bhawana,entertainment,நடிகை பாவனாவுக்கு கோல்டன் விசா வழங்கிய ஐக்கிய அரபு அமீரகம்,தினத்தந்தி,21-09-2022 07:36,0
2231,"""Save Bondamani .."" Actor Benjamin cries for his friend..!",entertainment,"""போண்டாமணியை காப்பாத்துங்க.."" நண்பருக்காக கதறி அழும் நடிகர் பெஞ்சமின்..!",தினத்தந்தி,21-09-2022 06:56,0
2232,Popular comedian dies,entertainment,பிரபல காமெடி நடிகர் மரணம்,தினத்தந்தி,21-09-2022 05:56,0
2233,Commercial tax department raids actor Suri's restaurant,entertainment,நடிகர் சூரியின் உணவகத்தில் வணிகவரித்துறை சோதனை,தினத்தந்தி,21-09-2022 04:02,0
2234,Dulquer Salmaan is furious,entertainment,துல்கர் சல்மான் கோபம்,தினத்தந்தி,21-09-2022 03:46,0
2235,Actress Nayanthara buys properties in Hyderabad,entertainment,ஐதராபாத்தில் சொத்துக்கள் வாங்கும் நடிகை நயன்தாரா,தினத்தந்தி,21-09-2022 02:49,0
2236,Shooting accident: Titanic actress hospitalized,entertainment,படப்பிடிப்பில் விபத்து: டைட்டானிக் பட நடிகை ஆஸ்பத்திரியில் அனுமதி,தினத்தந்தி,21-09-2022 02:41,0
2237,Tamannaah aspires for a national award,entertainment,தேசிய விருதுக்கு ஆசைப்படும் தமன்னா,தினத்தந்தி,21-09-2022 02:03,0
2238,Ajith Kumar movie title leaked?,entertainment,அஜித்குமார் படத்தின் தலைப்பு கசிந்ததா?,தினத்தந்தி,21-09-2022 01:27,0
2239,Famous actress wearing blue lipstick; Distraught fans,entertainment,நீல வண்ண லிப்ஸ்டிக் போட்ட பிரபல நடிகை; கலாய்த்து தள்ளிய ரசிகர்கள்,தினத்தந்தி,20-09-2022 15:00,0
2240,'I will come' clashing with 'Ponni's Selvan',entertainment,'பொன்னியின் செல்வனுடன்' மோதும் 'நானே வருவேன்',தினத்தந்தி,20-09-2022 14:47,0
2241,Gujarati film 'Celo So' nominated for Oscar on behalf of India,entertainment,குஜராத்தி படமான 'செலோ சோ' இந்தியா சார்பில் ஆஸ்கார் விருதுக்கு பரிந்துரை,தினத்தந்தி,20-09-2022 13:29,0
2242,Titanic actress Kate Winslet hospitalized,entertainment,டைட்டானிக் பட நாயகி கேட் வின்ஸ்லெட் மருத்துவமனையில் அனுமதி,தினத்தந்தி,20-09-2022 12:26,0
2243,Actress Deepa suicide case: Police summon boyfriend Sirajud's appearance,entertainment,நடிகை தீபா தற்கொலை விவகாரம்: காதலன் சிராஜுதின் ஆஜராக போலீசார் சம்மன்,தினத்தந்தி,20-09-2022 08:00,0
2244,Comparing me with Shah Rukh Khan? - Dulquer Salmaan,entertainment,ஷாருக்கானுடன் என்னை ஒப்பிடுவதா? - துல்கர் சல்மான்,தினத்தந்தி,20-09-2022 03:18,0
2245,It takes courage to make a political film - Director Interview,entertainment,அரசியல் படம் எடுக்க துணிச்சல் வேண்டும் - டைரக்டர் பேட்டி,தினத்தந்தி,20-09-2022 02:56,0
2246,Ramarajan as the protagonist again,entertainment,மீண்டும் கதாநாயகனாக ராமராஜன்,தினத்தந்தி,20-09-2022 02:18,0
2247,What happened to Nivetha Thomas?,entertainment,நிவேதா தாமசுக்கு என்ன ஆச்சு?,தினத்தந்தி,20-09-2022 02:11,0
2248,Dushara is full of glamour,entertainment,கவர்ச்சியில் கலக்கும் துஷாரா,தினத்தந்தி,20-09-2022 02:01,0
2249,"""They stopped my film from running"" is the anguish of a small film producer",entertainment,"""என் படத்தை ஓடவிடாமல் செய்துவிட்டார்கள்"" ஒரு சிறு பட தயாரிப்பாளரின் வேதனை",தினத்தந்தி,20-09-2022 01:55,0
2250,Atharva Junior Captain?,entertainment,அதர்வா ஜூனியர் கேப்டனா?,தினத்தந்தி,20-09-2022 01:51,0
2251,Money fraud case: Delhi Police interrogates actress Jacqueline for 7 hours,entertainment,பண மோசடி வழக்கு: நடிகை ஜாக்குலினிடம் டெல்லி போலீசார் 7 மணி நேரம் விசாரணை,தினத்தந்தி,19-09-2022 17:24,0
2252,'Alayakadal Alam Niluvu Nranato' - Viral Ponni's Song Lyric Video from Selvan,entertainment,'அலைகடல் ஆழம் நிலவு அறியாதோ' - வைரலாகும் பொன்னியின் செல்வன் படத்தின் பாடல் லிரிக் வீடியோ,தினத்தந்தி,19-09-2022 16:56,0
2253,Arvind Samy starrer 'Rendagam' release date announcement..!,entertainment,அரவிந்த் சாமி நடித்துள்ள 'ரெண்டகம்' படத்தின் ரிலீஸ் தேதி அறிவிப்பு..!,தினத்தந்தி,19-09-2022 16:39,0
2254,Mother's advice to Sukana Khan on dating...,entertainment,டேட்டிங் செல்ல சுகானா கானுக்கு தாயார் வழங்கிய அறிவுரை...,தினத்தந்தி,19-09-2022 13:24,0
2255,Famous actress sexual harassment complaint against directors,entertainment,இயக்குனர்கள் மீது பிரபல நடிகை பாலியல் தொல்லை புகார்,தினத்தந்தி,19-09-2022 08:05,0
2256,2nd marriage for actress Samantha?,entertainment,நடிகை சமந்தாவுக்கு 2வது திருமணமா?,தினத்தந்தி,19-09-2022 07:46,0
2257,Actor Prabhas in love with actress Kriti Sanon,entertainment,நடிகை கிருத்தி சனோனுடன் காதலில் நடிகர் பிரபாஸ்,தினத்தந்தி,19-09-2022 07:30,0
2258,Actor Dhanush starrer Vaathi release date announcement,entertainment,நடிகர் தனுஷ் நடிக்கும் வாத்தி திரைப்படத்தின் ரிலீஸ் தேதி அறிவிப்பு,தினத்தந்தி,19-09-2022 06:41,0
2259,"""I loved someone dearly"" is a heartfelt letter from a suicide actress",entertainment,"""நான் ஒருவரை உயிருக்கு உயிராக காதலித்தேன்"" தற்கொலை செய்து கொண்ட நடிகையின் உருக்கமான கடிதம்",தினத்தந்தி,19-09-2022 04:54,0
2260,The first look poster of Vinay starrer 'Murder Live' has been released..!,entertainment,வினய் நடித்துள்ள 'மர்டர் லைவ்' படத்தின் பர்ஸ்ட்லுக் போஸ்டர் வெளியானது..!,தினத்தந்தி,18-09-2022 16:46,0
2261,Money fraud case: Delhi Police summons actress Jacqueline again,entertainment,பண மோசடி வழக்கு: நடிகை ஜாக்குலினுக்கு டெல்லி போலீசார் மீண்டும் சம்மன்,தினத்தந்தி,18-09-2022 15:30,0
2262,Study up to Plus 2... The woman who won Rs.1 crore in Crorepati,entertainment,பிளஸ் 2 வரையே படிப்பு... குரோர்பதியில் ரூ.1 கோடி வென்று சாதித்த பெண்,தினத்தந்தி,18-09-2022 12:18,0
2263,"Whoever I help, let them not fall at my feet - Raghava Lawrence plea",entertainment,"நான் யாருக்கு உதவி செய்தாலும், அவர்கள் என் காலில் விழக்கூடாது - ராகவா லாரன்ஸ் வேண்டுகோள்",தினத்தந்தி,18-09-2022 11:03,0
2264,Chennai: Supporting actress Deepa hanged herself in Virugambakkam...!,entertainment,சென்னை: விருகம்பாக்கத்தில் துணை நடிகை தீபா தூக்கிட்டு தற்கொலை...!,தினத்தந்தி,18-09-2022 04:40,0
2265,"Legendary actress Jayakumari, who is struggling without money for treatment - a heartwarming interview",entertainment,சிகிச்சைக்கு பணம் இன்றி தவிக்கும் பழம்பெரும் நடிகை ஜெய்குமாரி - உருக்கமான பேட்டி,தினத்தந்தி,18-09-2022 03:14,0
2266,Strong condemnations of Amalapal,entertainment,அமலாபாலுக்கு வலுக்கும் கண்டனங்கள்,தினத்தந்தி,18-09-2022 02:10,0
2267,Ileana on the Samantha track,entertainment,சமந்தா பாதையில் இலியானா,தினத்தந்தி,18-09-2022 01:56,0
2268,Why Rajinikanth was not cast in 'Ponniyin Selvan'? Director Mani Ratnam explained,entertainment,'பொன்னியின் செல்வன்' படத்தில் ரஜினிகாந்தை நடிக்க வைக்காதது ஏன்? டைரக்டர் மணிரத்னம் விளக்கம்,தினத்தந்தி,18-09-2022 01:42,0
2269,Arabic song hits new milestone on YouTube,entertainment,யூ-டியூபில் புதிய மைல்கல்லை எட்டிய அரபிக்குத்து பாடல்,தினத்தந்தி,17-09-2022 23:22,0
2270,Sri Lankan singer Yohani's song 'Manike Make Hithe' is going viral again,entertainment,இலங்கை பாடகி யோஹானியின் குரலில் மீண்டும் வைரலாகும் 'மணிகே மாகே ஹிதே' பாடல்,தினத்தந்தி,17-09-2022 22:08,0
2271,JV Prakash's new music album - one minute song video that captivated fans,entertainment,ஜீ.வி.பிரகாஷின் புதிய இசை ஆல்பம் - ரசிகர்களை கவர்ந்த ஒரு நிமிட பாடல் வீடியோ,தினத்தந்தி,17-09-2022 21:39,0
2272,"""Korean actors are all the same"" - a strong condemnation of Sivakarthikeyan's speech",entertainment,"""கொரிய நடிகர்கள் எல்லோரும் ஒரே மாதிரி இருப்பார்கள்"" - சிவகார்த்திகேயனின் பேச்சுக்கு வலுக்கும் கண்டனம்",தினத்தந்தி,17-09-2022 17:18,0
2273,Sandeep Kishan to act with Dhanush in 'Captain Miller'..!,entertainment,'கேப்டன் மில்லர்' படத்தில் தனுசுடன் இணைந்து நடிக்கிறார் சந்தீப் கிஷான்..!,தினத்தந்தி,17-09-2022 16:47,0
2274,Next date... A famous actress who is a new mother in a hurry,entertainment,அடுத்த டேட்டிங்... அவசரம் காட்டிய தாயான பிரபல நடிகை,தினத்தந்தி,17-09-2022 14:43,0
2275,I'm a sponge...absorbing talents of co-stars: Actress Rashmika Mandana Interview,entertainment,நான் ஒரு பஞ்சு... சக நடிகர்களின் திறமைகளை உறிஞ்சி கொள்வேன்: நடிகை ராஷ்மிகா மந்தனா பேட்டி,தினத்தந்தி,17-09-2022 10:53,0
2276,Opportunity to work with director Lokesh Kanagaraj,entertainment,இயக்குனர் லோகேஷ் கனகராஜ் உடன் பணிபுரிய வாய்ப்பு,தினத்தந்தி,17-09-2022 09:45,0
2277,"""Am I a murderer or a robber?"" - Ajith had a fun talk with the fans",entertainment,"""நான் என்ன கொலைகாரனா இல்லை கொள்ளைக்காரனா?"" - ரசிகர்களுடன் ஜாலியாக பேசிய அஜித்",தினத்தந்தி,17-09-2022 07:58,0
2278,Film flop: Charmy agrees to pay damages,entertainment,படம் தோல்வி: நஷ்டஈடு வழங்க சார்மி சம்மதம்,தினத்தந்தி,17-09-2022 06:12,0
2279,Actress Taapsee Gobham,entertainment,நடிகை டாப்சி கோபம்,தினத்தந்தி,17-09-2022 06:01,0
2280,Rashmika raised her salary again,entertainment,மீண்டும் சம்பளத்தை உயர்த்திய ராஷ்மிகா,தினத்தந்தி,17-09-2022 05:01,0
2281,Anushka marriage rumor again,entertainment,மீண்டும் அனுஷ்கா திருமண வதந்தி,தினத்தந்தி,17-09-2022 04:54,0
2282,Suriya in 5 roles in the epic?,entertainment,சரித்திர கதையில் 5 வேதங்களில் சூர்யா?,தினத்தந்தி,17-09-2022 04:43,0
2283,I am wildly hungry as an actor - Simbu,entertainment,ஒரு நடிகனாக காட்டு பசியில் இருக்கிறேன் - சிம்பு,தினத்தந்தி,17-09-2022 03:19,0
2284,RRR was included in the list of Oscar predictions published by a famous magazine. movie,entertainment,பிரபல பத்திரிக்கை வெளியிட்ட ஆஸ்கர் கணிப்பு பட்டியலில் இடம்பிடித்த ஆர்.ஆர்.ஆர். திரைப்படம்,தினத்தந்தி,16-09-2022 22:18,0
2285,Kannada actress who set foot in Tamil film industry,entertainment,தமிழ் திரைஉலகில் கால் பதிக்கும் கன்னட நடிகை,தினத்தந்தி,16-09-2022 18:45,0
2286,Anjali starrer 'Fall' web series first look poster released,entertainment,அஞ்சலி நடித்துள்ள 'ஃபால்' வெப் தொடரின் பர்ஸ்ட்லுக் போஸ்டர் வெளியானது,தினத்தந்தி,16-09-2022 16:50,0
2287,'Kadoto Sol' - Ponni's new song from Selvan released,entertainment,'காதோடு சொல்' - பொன்னியின் செல்வன் படத்தின் புதிய பாடல் வெளியானது,தினத்தந்தி,16-09-2022 16:36,0
2288,Joining Raghava Lawrence is director Ratna Kumar,entertainment,ராகவா லாரன்சுடன் இணைகிறார் இயக்குனார் ரத்ன குமார்,தினத்தந்தி,16-09-2022 15:11,0
2289,What I don't have I take from new actors - actor Kamal Haasan,entertainment,என்னிடம் இல்லாததை புதிய நடிகர்களிடம் இருந்து எடுத்துக்கொள்கிறேன் - நடிகர் கமல்ஹாசன்,தினத்தந்தி,16-09-2022 12:51,0
2290,Extension of interim stay on order imposing fine of Rs 1.5 crore on actor Vijay,entertainment,நடிகர் விஜய்க்கு ரூ.1.5 கோடி அபராதம் விதித்த உத்தரவுக்கு இடைக்காலத் தடை நீட்டிப்பு,தினத்தந்தி,16-09-2022 11:57,0
2291,Action scene of 'Jawan' which is going to be huge.. New information,entertainment,பிரம்மாண்டமாக உருவாகும் 'ஜவான்' படத்தின் சண்டைக்காட்சி.. புதிய தகவல்,தினத்தந்தி,16-09-2022 11:02,0
2292,4 actresses who met fraud kingpin Sukeshchandrasekhar in jail and received expensive gifts,entertainment,மோசடி மன்னன் சுகேஷ்சந்திரசேகரை சிறையில் சந்தித்து விலை உயர்ந்த பரிசுகளை பெற்ற 4 நடிகைகள்,தினத்தந்தி,16-09-2022 05:01,0
2293,Arjun's daughter who started the company,entertainment,தொழில் நிறுவனம் தொடங்கிய அர்ஜூன் மகள்,தினத்தந்தி,16-09-2022 03:57,0
2294,An innovative screenplay that has never been told in Tamil cinema,entertainment,தமிழ் சினிமாவில் இதுவரை சொல்லப்படாத புதுமையான திரைக்கதை,தினத்தந்தி,16-09-2022 03:52,0
2295,A chubby Iniya,entertainment,குண்டாகிப் போன இனியா,தினத்தந்தி,16-09-2022 03:47,0
2296,A film that talks about women's safety,entertainment,பெண்களின் பாதுகாப்பை பேசும் படம்,தினத்தந்தி,16-09-2022 03:41,0
2297,Cheran's new film after a long gap,entertainment,நீண்ட இடைவெளிக்குப்பின் சேரன் நடிக்கும் புதிய படம்,தினத்தந்தி,16-09-2022 02:48,0
2298,Tamil Nadu's Eligible 'Bachelor' Simbu - Siddhi Itnani,entertainment,தமிழ்நாட்டின் தகுதியான 'பேச்சிலர்' சிம்பு - சித்தி இட்னானி,தினத்தந்தி,16-09-2022 02:13,0
2299,"In another horror film, Vishnu Vishal",entertainment,"இன்னொரு திகில் படத்தில், விஷ்ணு விஷால்",தினத்தந்தி,16-09-2022 01:50,0
2300,Pa. Ranjith is directing the film,entertainment,"கனவு படத்தை இயக்குகிறார், பா.ரஞ்சித்",தினத்தந்தி,16-09-2022 01:22,0
2301,New poster release of Ashok Selvan starrer Nitham Eru Vaanam,entertainment,அசோக் செல்வன் நடிக்கும் 'நித்தம் ஒரு வானம்' படத்தின் புதிய போஸ்டர் வெளியீடு,தினத்தந்தி,15-09-2022 16:36,0
2302,Money Laundering Case: Delhi Police interrogates actress Nora Badehi for 6 hours,entertainment,பணமோசடி வழக்கு: நடிகை நோரா பதேஹியிடம் டெல்லி போலீசார் 6 மணி நேரம் விசாரணை,தினத்தந்தி,15-09-2022 14:23,0
2303,The teaser of Dhanush's 'Nane Varavane' has been released..!,entertainment,தனுஷ் நடித்துள்ள 'நானே வருவேன்' படத்தின் டீசர் வெளியானது..!,தினத்தந்தி,15-09-2022 14:23,0
2304,Ajith's bike travel map! Viral on social media...!,entertainment,அஜித்தின் பைக் பயண மேப்! சமூக வலைதளங்களில் வைரல்...!,தினத்தந்தி,15-09-2022 13:56,0
2305,Rs 200 crore fraud case: Actress Nora Pathehi appears for investigation,entertainment,ரூ.200 கோடி மோசடி வழக்கு: நடிகை நோரா பதேஹி விசாரணைக்கு ஆஜர்,தினத்தந்தி,15-09-2022 11:14,0
2306,'Sir only one selfie': Baahubali Rana grabbed the phone in anger..!,entertainment,'சார் ஒரே ஒரு செல்பி': கோபத்தில் போனை பிடித்த பாகுபலி ராணா..!,தினத்தந்தி,15-09-2022 10:57,0
2307,Who did this...? I was dressed and someone morphed- Ranveer Singh,entertainment,யாரப்பா இதை செய்தது...? ஆடை அணிந்திருந்தேன் யாரோ மார்பிங் செய்து விட்டார்கள்- ரன்வீர் சிங்,தினத்தந்தி,15-09-2022 08:12,0
2308,How is Simbu's Bentu Thanathan movie...! Congratulations to celebrities,entertainment,சிம்புவின் வெந்து தணிந்தது படம் எப்படி உள்ளது...! பிரபலங்கள் வாழ்த்து,தினத்தந்தி,15-09-2022 07:41,0
2309,2nd marriage for Sonia Aggarwal?,entertainment,சோனியா அகர்வாலுக்கு 2வது திருமணமா?,தினத்தந்தி,15-09-2022 03:56,0
2310,Lawsuit filed against Kishore-starrer Veerappan Jiyaga web series,entertainment,கிஷோர் நடிக்கும் வீரப்பன் வாழ்க்கை வெப் தொடரை எதிர்த்து வழக்கு,தினத்தந்தி,15-09-2022 03:18,0
2311,Lawrence changed to a new look to act in a horror story,entertainment,திகில் கதையில் நடிக்க புதிய தோற்றத்துக்கு மாறிய லாரன்ஸ்,தினத்தந்தி,15-09-2022 03:01,0
2312,Opposition to controversy: Actress apologizes,entertainment,சர்ச்சை கருத்துக்கு எதிர்ப்பு: மன்னிப்பு கேட்ட நடிகை,தினத்தந்தி,15-09-2022 02:44,0
2313,Famous director dies,entertainment,பிரபல டைரக்டர் மரணம்,தினத்தந்தி,15-09-2022 02:10,0
2314,Allegations of hurting religious sentiments - Ajaidevgan's film in trouble,entertainment,மத உணர்வை புண்படுத்தியதாக புகார் - அஜய்தேவ்கன் படத்துக்கு சிக்கல்,தினத்தந்தி,15-09-2022 01:59,0
2315,Simbu starrer 'Vendhu Thaninda Kadu' released in theatres,entertainment,சிம்பு நடித்த 'வெந்து தணிந்த காடு' படம் தியேட்டர்களில் வெளியானது,தினத்தந்தி,15-09-2022 01:38,0
2316,"""No more donations to the foundation"" - pleads Raghava Lawrence",entertainment,"""அறக்கட்டளைக்கு இனி நன்கொடை வேண்டாம்"" - வேண்டுகோள் விடுத்த ராகவா லாரன்ஸ்",தினத்தந்தி,14-09-2022 18:58,0
2317,'Vendhu Tananthana Kadu' will be released in more than 600 theaters in Tamil Nadu.,entertainment,தமிழகத்தில் 600க்கும் அதிகமான தியேட்டர்களில் ரிலீசாகும் 'வெந்து தணிந்தது காடு',தினத்தந்தி,14-09-2022 18:20,0
2318,Money Laundering Case: Delhi Police Summons Nora Pathehi After Actress Jacqueline,entertainment,பணமோசடி வழக்கு: நடிகை ஜாக்குலினை தொடர்ந்து நோரா பதேஹி-க்கு டெல்லி போலீசார் சம்மன்,தினத்தந்தி,14-09-2022 17:47,0
2319,Kovai Sarala as 'Phair Pushpa' - New Poster of 'Kick',entertainment,'பயர் புஷ்பாவாக' கோவை சரளா - 'கிக்' படத்தின் புதிய போஸ்டர்,தினத்தந்தி,14-09-2022 16:43,0
2320,The trailer of 'Baboon' starring Vaibhav has been released..!,entertainment,வைபவ் நடித்துள்ள 'பபூன்' படத்தின் டிரைலர் வெளியானது..!,தினத்தந்தி,14-09-2022 16:25,0
2321,Director Bhagyaraj sworn in as new president of South Indian Film Writers Association,entertainment,தென்னிந்திய திரைப்பட எழுத்தாளர்கள் சங்கத்தின் புதிய தலைவராக பதவியேற்றார் - இயக்குநர் பாக்யராஜ்,தினத்தந்தி,14-09-2022 16:18,0
2322,Money Laundering Case: Actress Jacqueline Fernandez was interrogated by Delhi Police for 8 hours,entertainment,பணமோசடி வழக்கு: நடிகை ஜாக்குலின் பெர்னாண்டஸிடம் டெல்லி போலீசார் 8 மணி நேரம் விசாரணை,தினத்தந்தி,14-09-2022 15:56,0
2323,The teaser of 'Nane Varavane' will be released tomorrow,entertainment,'நானே வருவேன்' படத்தின் டீசர் நாளை வெளியாகிறது,தினத்தந்தி,14-09-2022 11:25,0
0,"Says ""there is no"" COVID-19 virus.",miscellaneous,"COVID-19 வைரஸ் ""இல்லை"" என்கிறார்.", Facebook posts ," stated on March 19, 2020 in a post: ",1
1,Says coronavirus is just “the damn flu.”,miscellaneous,"கொரோனா வைரஸ் வெறும் ""அடடா காய்ச்சல்"" என்று கூறுகிறார்.", David A. Clarke Jr. ," stated on March 15, 2020 in a tweet: ",1
2,"The coronavirus ""snuck up on us,"" adding that it is ""a very unforeseen thing.""",politics,"கொரோனா வைரஸ் ""நம்மிடம் பதுங்கியிருந்தது,"" இது ""மிகவும் எதிர்பாராத விஷயம்"" என்றும் கூறினார்.", Donald Trump ," stated on March 18, 2020 in comments made during a White House media briefing: ",1
3,"Says President Donald Trump said, ""People are dying who have never died before.""",politics,"அமெரிக்க அதிபர் டொனால்ட் டிரம்ப், “இதுவரை இறக்காத மக்கள் இறந்து கொண்டிருக்கிறார்கள்” என்று கூறினார்.", Facebook posts ," stated on March 18, 2020 in a Facebook post: ",1
4,Says the New York Times exposed the “real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances.”,politics,"நியூயார்க் டைம்ஸ் ""கொரோனா வைரஸின் பின்னணியில் உள்ள உண்மையான காரணத்தை அம்பலப்படுத்தியது: டிரம்பின் மறுதேர்தல் வாய்ப்புகளுக்கு தீங்கு விளைவிக்க சந்தையை செயலிழக்கச் செய்யுங்கள்.""", Bloggers ," stated on March 13, 2020 in a blog post: ",1
5,"“I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.”",miscellaneous,"""இது ஒரு உண்மையானது, இது ஒரு தொற்றுநோய் என்று நான் எப்போதும் அறிந்திருக்கிறேன். இது ஒரு தொற்றுநோய் என்று அழைக்கப்படுவதற்கு முன்பே இது ஒரு தொற்றுநோய் என்று நான் உணர்ந்தேன்.", Donald Trump ," stated on March 17, 2020 in a White House news conference: ",1
6,"Says Oprah Winfrey's house ""has been seized and they are excavating the property and digging up the tunnels!""",entertainment,"ஓப்ரா வின்ஃப்ரேயின் வீடு ""கைப்பற்றப்பட்டுள்ளது, அவர்கள் சொத்துக்களை தோண்டி சுரங்கங்களை தோண்டி வருகின்றனர்!""", Facebook posts ," stated on March 16, 2020 in a Facebook post: ",1
7,In South Florida “all children and adults must remain in their homes” due to coronavirus.,tech,தென் புளோரிடாவில் கொரோனா வைரஸ் காரணமாக அனைத்து குழந்தைகளும் பெரியவர்களும் தங்கள் வீடுகளில் இருக்க வேண்டும்., Facebook posts ," stated on March 13, 2020 in a Facebook post: ",1
8,"Silver Solution used on strains of coronavirus ""totally eliminate it. Kills it. Deactivates it.""",tech,"கொரோனா வைரஸின் விகாரங்களில் பயன்படுத்தப்படும் சில்வர் கரைசல் ""அதை முற்றிலுமாக நீக்குகிறது. கொல்லுகிறது. செயலிழக்கச் செய்கிறது.""", Sherill Sellman ," stated on February 12, 2020 in remarks on the Jim Bakker show: ",1
9,“Coronavirus — 22. Clintons — 39.”,politics,"""கொரோனா வைரஸ் - 22. கிளிண்டன்ஸ் - 39.""", Facebook posts ," stated on March 9, 2020 in a Facebook post: ",1
10,"""ICE arrests LA mayor for harboring fugitives through sanctuary city.""",politics,"""சரணாலய நகரம் வழியாக தப்பியோடியவர்களுக்கு அடைக்கலம் கொடுத்ததற்காக LA மேயரை ICE கைது செய்கிறது.""", Bloggers ," stated on March 13, 2020 in a blog post: ",1
11,"Says a video of Joe Biden and Beto O'Rourke at a Texas Whataburger shows Biden ""looking directly into the camera and promising to take away Americans' guns if elected.""",politics,"டெக்சாஸ் வாட்பர்கரில் ஜோ பிடன் மற்றும் பெட்டோ ஓ'ரூர்க் ஆகியோரின் வீடியோ பிடென் ""கேமராவை நேரடியாகப் பார்த்து, தேர்ந்தெடுக்கப்பட்டால் அமெரிக்கர்களின் துப்பாக்கிகளை எடுத்துச் செல்வதாக உறுதியளித்ததை"" காட்டுகிறது.", Conservative-Daily ," stated on March 4, 2020 in a post: ",1
12,Says Jimmy Carter has endorsed Bernie Sanders.,politics,ஜிம்மி கார்ட்டர் பெர்னி சாண்டர்ஸை ஆதரித்ததாக கூறுகிறார்., Bloggers ," stated on March 7, 2020 in a blog post: ",1
